ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID
230;78;86.748;31.032;151.985;31.032;1;0;23.76;39.3399;32.9201;0.0;1614862801601;1;39.3385;32.8896;0;46.2854;45.393;100;5000;0;0
58;15;80.0244;14.256;161.949;14.256;1;0;38.56;39.3426;32.919;0.0;1614862801774;1;39.3385;32.8896;0;46.2854;45.393;100;5000;0;0
87;168;68.703;4.824;67.6703;4.824;1;0;26.27;39.3483;32.9218;0.0;1614862802187;1;39.3385;32.8896;0;46.2854;45.393;100;5000;0;0
194;247;16.2653;6.336;27.7625;6.336;1;0;13.02;39.3717;32.9018;0.0;1614862802202;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
165;106;15.5731;2.196;306.81;2.196;1;0;16.47;39.3572;32.896;0.0;1614862802202;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
69;105;18.479;9;164.669;9;1;0;28.72;39.3701;32.9029;0.0;1614862802205;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
149;130;16.9684;3.96;226.769;3.96;1;0;24.25;39.3507;32.8941;0.0;1614862802206;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
235;198;18.8141;127.296;340.67;127.296;1;0;32.33;39.3708;32.9035;0.0;1614862802208;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
42;138;21.5717;3.204;118.136;3.204;1;0;13.01;39.3611;32.9008;0.0;1614862802211;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
212;238;21.2421;0.9;107.726;0.9;1;0;32.55;39.3685;32.9043;0.0;1614862802215;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
74;74;25.9717;0.648;165.701;0.648;1;0;25.75;39.3599;32.9027;0.0;1614862802217;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
33;44;27.8064;1.656;143.124;1.656;1;0;20.1;39.3675;32.909;0.0;1614862802218;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
24;136;25.752;1.404;202.11;1.404;1;0;34.11;39.3438;32.8926;0.0;1614862802218;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
70;125;25.0214;10.692;144.509;10.692;1;0;34.34;39.3667;32.9063;0.0;1614862802220;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
34;225;29.4873;35.316;143.547;35.316;1;0;14.97;39.3644;32.9082;0.0;1614862802245;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
185;40;30.0751;2.916;266.006;2.916;1;0;29.79;39.3508;32.8985;0.0;1614862802304;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
40;91;34.8157;7.344;157.676;7.344;1;0;36.18;39.3619;32.9103;0.0;1614862802305;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
0;199;29.8883;220.212;329.793;220.212;1;0;23.89;39.3621;32.9068;0.0;1614862802306;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
235;68;33.7061;26.496;141.339;26.496;1;0;26.28;39.3506;32.8997;0.0;1614862802332;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
92;74;37.0789;1.836;123.085;1.836;1;0;22.75;39.3575;32.9078;0.0;1614862802334;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
217;125;36.0077;131.976;332.99;131.976;1;0;17.07;39.3581;32.9076;0.0;1614862802418;2;39.3385;32.8894;0;47.9213;36.7247;100;5000;0;0
