ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii
177;6;8.89343;61.128;157.632;61.128;1;0;33.61;39.375;32.8969;0.0;1858353676;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
180;76;10.7062;39.744;158.802;39.744;1;0;21.88;39.3755;32.8985;0.0;1858353843;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75;198;13.5077;13.104;100.432;13.104;1;0;18.78;39.3649;32.8977;0.0;1858353994;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
213;213;3.75732;5.22;15.8972;5.22;1;0;20.77;39.3818;32.893;0.0;1858354475;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
56;118;7.10815;3.924;252.394;3.924;1;0;19.17;39.3533;32.8917;0.0;1858354495;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
152;186;10.6787;1.764;280.8;1.764;1;0;21.21;39.3651;32.8958;0.0;1858354522;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0.0;1858354580;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
154;137;18.7921;0.972;13.8757;0.972;1;0;26.22;39.3506;32.8946;0.0;1858354637;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
133;76;25.9772;42.66;153.397;42.66;1;0;14.47;39.3661;32.9066;0.0;1858354726;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0.0;1858354842;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
157;74;26.8835;0.828;296.395;0.828;1;0;24.81;39.3597;32.9031;0.0;1858354726;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;2
228;37;28.6029;0.792;204.197;0.792;1;0;23.78;39.3672;32.9094;0.0;1858354754;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;3
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;3
114;193;32.6349;5.148;303.712;5.148;1;0;23.1;39.3614;32.9082;0.0;1858354813;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;4
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;4
43;132;36.4362;3.06;125.717;3.06;1;0;18.57;39.358;32.9079;0.0;1858354840;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;5
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;5
130;244;39.1718;1.404;116.9;1.404;1;0;20.1;39.3563;32.908;0.0;1858354869;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;6
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;6
167;219;42.572;1.908;98.9703;1.908;1;0;25.52;39.357;32.9111;0.0;1858354972;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;7
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;7
187;164;49.8779;1.584;352.282;1.584;1;0;34.45;39.3425;32.8954;0.0;1858355015;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;8
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;8
184;146;50.6305;0.432;141.097;0.432;1;0;25.18;39.3569;32.9182;0.0;1858355016;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;9
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;9
144;101;49.1858;59.94;346.086;59.94;1;0;37.02;39.3557;32.915;0.0;1858355044;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;10
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;10
134;159;53.053;1.476;239.183;1.476;1;0;39.9;39.3449;32.9003;0.0;1858355044;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;11
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;11
5;85;59.5459;1.296;328.942;1.296;1;0;26.98;39.3495;32.9132;0.0;1858355101;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;12
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;12
54;221;58.1342;0.684;26.2628;0.684;1;0;27.13;39.3445;32.9016;0.0;1858355102;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;13
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;13
43;146;57.9144;37.8;167.322;37.8;1;0;38.86;39.3515;32.9162;0.0;1858355967;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;14
