ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID;TrackRadarID
167;174;53.3112;1.8;289.891;1.8;1;0;30.78;39.345;32.9007;0.0;1615136310218;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
240;169;46.2799;14.544;104.897;14.544;1;0;36.87;39.3572;32.9146;0.0;1615136310364;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
56;155;78.783;24.264;164.96;24.264;1;0;20.44;39.3438;32.9232;0.0;1615136311142;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
124;63;357.962;1.368;99.7833;1.368;1;0;41.57;39.3437;32.8891;0.0;1615136314241;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
78;226;3.31787;77.256;324.849;77.256;1;0;27.65;39.382;32.8925;0.0;1615136314299;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
251;91;5.13611;50.76;313.506;50.76;1;0;25.5;39.3807;32.8942;0.0;1615136314328;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
133;80;11.9751;1.836;32.1899;1.836;1;0;28.52;39.3663;32.8969;0.0;1615136314386;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
166;59;8.32214;95.94;329.804;95.94;1;0;14.82;39.3779;32.8967;0.0;1615136314388;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
198;132;13.8867;76.716;325.58;76.716;1;0;31.34;39.3733;32.9004;0.0;1615136314414;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
176;94;14.1394;149.868;153.501;149.868;1;0;14.04;39.3595;32.8961;0.0;1615136314445;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
249;140;17.7594;2.88;224.896;2.88;1;0;25.52;39.3507;32.8944;0.0;1615136314472;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
150;252;15.5566;286.236;0.192261;286.236;1;0;16.04;39.3785;32.9036;0.0;1615136314473;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
112;2;21.3739;75.78;326.255;75.78;1;0;28.61;39.3686;32.9045;0.0;1615136314502;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
34;181;20.5499;17.532;287.941;17.532;1;0;17.58;39.3681;32.9036;0.0;1615136314503;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
33;47;30.0092;14.544;121.74;14.544;1;0;20.94;39.3669;32.9104;0.0;1615136314648;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
205;41;36.7328;262.8;145.322;262.8;1;0;23.63;39.361;32.9109;0.0;1615136314676;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
140;45;39.6497;131.22;83.4302;131.22;1;0;19.16;39.3619;32.9143;0.0;1615136314762;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
146;214;43.5443;31.68;141.746;31.68;1;0;36.51;39.3583;32.9136;0.0;1615136314791;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
90;47;50.614;50.436;167.377;50.436;1;0;18.33;39.3549;32.915;0.0;1615136314851;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
203;221;56.4862;0.864;325.426;0.864;1;0;33.43;39.3447;32.9014;0.0;1615136314906;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
200;229;55.1404;27.936;91.0052;27.936;1;0;31.74;39.345;32.9013;0.0;1615136314935;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
78;144;60.3314;37.476;163.246;37.476;1;0;21.05;39.3506;32.9166;0.0;1615136314979;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
199;134;63.1879;0.036;118.839;0.036;1;0;28.09;39.3432;32.9013;0.0;1615136315009;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
69;149;64.6765;14.652;27.735;14.652;1;0;24.98;39.348;32.9151;0.0;1615136315022;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
96;47;67.2693;23.184;172.068;23.184;1;0;20.16;39.3476;32.9173;0.0;1615136315143;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
157;245;69.9774;83.34;173.771;83.34;1;0;25.4;39.3464;32.9171;0.0;1615136315147;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
109;125;75.8331;3.384;5.37231;3.384;1;0;40.41;39.3433;32.9138;0.0;1615136315149;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
111;37;73.3118;15.66;123.129;15.66;1;0;20.03;39.3453;32.9182;0.0;1615136315150;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
191;213;75.4376;0.288;161.906;0.288;1;0;27.32;39.3413;32.9032;0.0;1615136315151;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
56;166;79.5905;28.512;160.291;28.512;1;0;26.09;39.3434;32.9234;0.0;1615136315200;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
79;219;78.8873;128.844;149.612;128.844;1;0;16;39.3429;32.9181;0.0;1615136315201;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
153;225;4.10889;75.708;324.833;75.708;1;0;33.24;39.382;32.8935;0.0;1615136315388;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
213;155;4.73511;12.78;255.377;12.78;1;0;37.26;39.3813;32.8941;0.0;1615136315389;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
7;193;13.667;0.54;293.291;0.54;1;0;19.32;39.3649;32.8978;0.0;1615136315727;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
60;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0.0;1615136316020;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
110;211;22.522;2.592;234.827;2.592;1;0;17.1;39.368;32.9053;0.0;1615136316071;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
171;235;29.7125;9.288;133.956;9.288;1;0;23.77;39.3644;32.9086;0.0;1615136316289;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
137;96;28.1744;10.152;101.788;10.152;1;0;15.96;39.3597;32.9041;0.0;1615136316290;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
240;161;46.3513;7.452;157.885;7.452;1;0;26.3;39.3571;32.9146;0.0;1615136316996;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
177;20;52.6959;30.168;1.04919;30.168;1;0;23.74;39.3541;32.9157;0.0;1615136317264;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
